Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du d�partement;Nom de la r�gion;Commentaires;Nom de la borne
VIRTA;8-10 Rue du Général de Gaulle - 37600 ST FLOVIER;1;18.0;semi-rapide;payant;24/24 7/7 jours;46.968583,1.026279;Saint-Flovier;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6244
VIRTA;Boulevard de l'Avenir - Zone des Poujeaux - 37530 NAZELLES NEGRON;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.422511,0.968669;Nazelles-Négron;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6245
VIRTA;Parking Ronsard - rue du Dr Patry - 37800 STE MAURE DE TOURAINE;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.111365,0.616556;Sainte-Maure-de-Touraine;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6246
VIRTA;Rue du Parc - Parvis Salle Polyvalente - 37420 BEAUMONT EN VERON;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.195244,0.183346;Beaumont-en-Véron;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6247
VIRTA;Parking rue du Stade - 37600 ST HIPPOLYTE;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.057907,1.101471;Saint-Hippolyte;DOUBS;BOURGOGNE-FRANCHE-COMTE;;B6248
VIRTA;Place Général Leclerc - 37110 AUZOUER-EN-TOURAINE;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.542562,0.919147;Auzouer-en-Touraine;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6249
VIRTA;Place de Verdun - 37600 LOCHES;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.128864,0.995288;Loches;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6250
VIRTA;Place Sainte-Anne - 37520 LA RICHE;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.390752,0.666942;La Riche;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6251
SIEML;Parking Mairie 49170 SAINT MARTIN DU FOUILLOUX;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.431488,-0.703429;Saint-Martin-du-Fouilloux;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6252
SIEML;Av De La Marne 49300 CHOLET;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.051325,-0.885521;Cholet;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6253
SIEML;Place De La Mairie 49390 VERNANTES;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.393536,0.053695;Vernantes;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6254
SIEML;Place St Maurice 49230 MONTFAUCON MONTIGNE;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.096814,-1.125468;Sèvremoine;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6255
SIEML;Parking Alphonse Loubat 49240 AVRILLE;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.505249,-0.588673;Avrillé;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6256
SIEML;Rue De Bretagne 49270 LA VARENNE;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.313,-1.322585;Orée d'Anjou;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6257
